vin_label,in_service,historical_failure,current_age_days,ridge_prob,risk_tier,state,fleet_clock_rul_days,replacement_status,ged_storm_active,ged_ever_fired,ged_lead_days,ged_storm_days_60d,collapse_alert,cov_30d,cov_60d,last_obs_age_days,staleness_days,data_gap_flag,recommended_action,risk_rank_in_service
VIN1_F_ALT,False,True,596.0,0.6058,HIGH_RISK,DEGRADING,5.0,DUE SOON (~5d to fleet median),True,True,21.0,11,False,0.73,0.87,596,,False,URGENT: GED2 excitation-fault storm active — inspect alternator within ~3 weeks.,
VIN10_F_ALT,False,True,472.0,0.6263,HIGH_RISK,LATE,129.0,Plan <6mo (~129d to fleet median),False,True,1.0,1,True,0.77,0.88,472,,False,"IMMEDIATE: voltage-collapse signature today — dispatch to depot now (reactive, not preventive).",
VIN2_F_ALT,False,True,627.0,0.6085,HIGH_RISK,LATE,0.0,OVERDUE (+26d past fleet median 601d),False,False,,0,True,0.8,0.75,627,,False,"IMMEDIATE: voltage-collapse signature today — dispatch to depot now (reactive, not preventive).",
VIN3_F_ALT,False,True,591.0,0.7603,HIGH_RISK,NORMAL,10.0,DUE SOON (~10d to fleet median),False,False,,0,False,1.0,0.97,591,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN4_F_ALT,False,True,664.0,0.4456,HIGH_RISK,NORMAL,0.0,OVERDUE (+63d past fleet median 601d),False,False,,0,False,0.9,0.93,664,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN5_F_ALT,False,True,661.0,0.2799,LOW_RISK,NORMAL,0.0,OVERDUE (+60d past fleet median 601d),False,False,,0,False,0.97,0.97,661,,False,Schedule alternator inspection: past fleet median wear-out age.,
VIN6_F_ALT,False,True,552.0,0.7112,HIGH_RISK,NORMAL,49.0,DUE SOON (~49d to fleet median),False,False,,0,False,1.0,0.83,552,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN7_F_ALT,False,True,673.0,0.7178,HIGH_RISK,NORMAL,0.0,OVERDUE (+72d past fleet median 601d),False,False,,0,False,0.93,0.93,673,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN8_F_ALT,False,True,573.0,0.8923,HIGH_RISK,NORMAL,28.0,DUE SOON (~28d to fleet median),False,False,,0,False,0.1,0.38,573,,True,BLIND: telemetry stale/sparse — cannot monitor; fall back to fleet-clock schedule & fix telematics (or confirm decommissioned).,
VIN9_F_ALT,False,True,606.0,0.4919,HIGH_RISK,NORMAL,0.0,OVERDUE (+5d past fleet median 601d),False,False,,0,False,0.8,0.78,606,,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,
VIN1_NF_ALT,True,False,747.0,0.2553,LOW_RISK,NORMAL,0.0,OVERDUE (+146d past fleet median 601d),False,False,,0,False,1.0,1.0,747,0,False,Schedule alternator inspection: past fleet median wear-out age.,12
VIN10_NF_ALT,True,False,761.0,0.4389,LOW_RISK,NORMAL,0.0,OVERDUE (+160d past fleet median 601d),False,False,,0,False,1.0,1.0,760,0,False,Schedule alternator inspection: past fleet median wear-out age.,2
VIN11_NF_ALT,True,False,766.0,0.2559,LOW_RISK,NORMAL,0.0,OVERDUE (+165d past fleet median 601d),False,False,,0,False,0.7,0.83,766,2,False,Schedule alternator inspection: past fleet median wear-out age.,11
VIN12_NF_ALT,True,False,581.0,0.0421,LOW_RISK,NORMAL,20.0,DUE SOON (~20d to fleet median),False,False,,0,False,1.0,1.0,580,0,False,Plan alternator replacement within ~2 months (approaching fleet wear-out window).,15
VIN13_NF_ALT,True,False,691.0,0.2104,LOW_RISK,NORMAL,0.0,OVERDUE (+90d past fleet median 601d),False,False,,0,False,0.53,0.63,691,7,False,Schedule alternator inspection: past fleet median wear-out age.,13
VIN14_NF_ALT,True,False,656.0,0.3162,LOW_RISK,NORMAL,0.0,OVERDUE (+55d past fleet median 601d),False,False,,0,False,1.0,0.98,655,0,False,Schedule alternator inspection: past fleet median wear-out age.,10
VIN2_NF_ALT,True,False,758.0,0.3956,LOW_RISK,NORMAL,0.0,OVERDUE (+157d past fleet median 601d),False,False,,0,False,1.0,0.95,758,0,False,Schedule alternator inspection: past fleet median wear-out age.,7
VIN3_NF_ALT,True,False,693.0,0.4906,HIGH_RISK,NORMAL,0.0,OVERDUE (+92d past fleet median 601d),False,False,,0,False,1.0,0.98,692,5,False,PRIORITY: high failure risk + past/near fleet replacement age — add alternator inspection at next depot visit.,1
VIN4_NF_ALT,True,False,685.0,0.4257,LOW_RISK,NORMAL,0.0,OVERDUE (+84d past fleet median 601d),False,False,,0,False,0.9,0.83,685,1,False,Schedule alternator inspection: past fleet median wear-out age.,3
VIN5_NF_ALT,True,False,721.0,0.325,LOW_RISK,NORMAL,0.0,OVERDUE (+120d past fleet median 601d),False,False,,0,False,1.0,0.98,720,0,False,Schedule alternator inspection: past fleet median wear-out age.,9
VIN6_NF_ALT,True,False,727.0,0.4133,LOW_RISK,NORMAL,0.0,OVERDUE (+126d past fleet median 601d),False,False,,0,False,0.73,0.82,726,0,False,Schedule alternator inspection: past fleet median wear-out age.,4
VIN7_NF_ALT,True,False,719.0,0.4116,LOW_RISK,NORMAL,0.0,OVERDUE (+118d past fleet median 601d),False,False,,0,False,0.97,0.93,719,0,False,Schedule alternator inspection: past fleet median wear-out age.,5
VIN8_NF_ALT,True,False,513.0,0.3934,LOW_RISK,NORMAL,88.0,Plan <6mo (~88d to fleet median),False,False,,0,False,1.0,0.95,513,267,True,BLIND: telemetry stale/sparse — cannot monitor; fall back to fleet-clock schedule & fix telematics (or confirm decommissioned).,8
VIN9_NF_ALT,True,False,574.0,0.1053,LOW_RISK,NORMAL,27.0,DUE SOON (~27d to fleet median),False,False,,0,False,1.0,1.0,574,205,True,BLIND: telemetry stale/sparse — cannot monitor; fall back to fleet-clock schedule & fix telematics (or confirm decommissioned).,14
VIN15_NF_ALT,True,False,634.0,0.3987,LOW_RISK,NORMAL,0.0,OVERDUE (+33d past fleet median 601d),False,False,,0,False,0.93,0.67,632,145,True,BLIND: telemetry stale/sparse — cannot monitor; fall back to fleet-clock schedule & fix telematics (or confirm decommissioned).,6
