truck_id,VIN,failed,vsi_spectral_entropy,vsi_range_trend_last30d,progressive_drift,vsi_std_ratio_30d,drift_x_rpm_slope,vsi_rpm_slope,resting_voltage_slope,crank_dip_trend,vsi_dominant_freq,vsi_bimodality_coeff,anr_heavy_mean,thermal_stress_proxy,bat_charge_delta_trend_right,vsi_stability_anomaly,ged2_daily_rate_log,vsi_range_variability,ged2_max_burst_24h
VIN1_F_ALT,VIN1,1,0.9371570140641788,0.0698362368772691,0.09071130018967849,2.433176279067993,0.00004363153009562514,0.00048099332723035667,-0.005038322082766331,0.0029058357172914457,0.0057692307692307696,0.7566088527292725,270.8072204589844,154723.88916015625,-0.023120081632392164,0.7398459911346436,4.983570445094102,4.512189865112305,12367.0
VIN2_F_ALT,VIN2,1,0.9260633340228485,-0.011341033727534984,0.20794473304013655,1.3421510457992554,-0.0000676736801602973,-0.00032544070326241556,-0.0010949648303083094,0.000026492995822069326,0.02276707530647986,0.7833636362634296,395.9751281738281,162411.1431274414,0.020118036274922903,0.9052809551358223,0.0,2.6820151805877686,0.0
VIN3_F_ALT,VIN3,1,0.9598022888529453,-0.14300334366065373,0.012777964274088541,0.689271867275238,-2.5208840532099476e-6,-0.0001972836986500155,-0.0013116201799295711,-0.0003405294752970135,0.41622574955908287,0.8519996133567653,361.8587646484375,163241.81408691406,-0.0060539184774226545,0.8491307627409697,0.0,2.835430860519409,0.0
VIN4_F_ALT,VIN4,1,0.9312847058254278,0.13156836937213767,0.16499003279567961,0.6746935844421387,0.000021145068055193417,0.00012815966938668985,-0.0020262267666684057,0.0001528665749068283,0.005016722408026756,0.6398913782486061,285.53033447265625,155456.20239257812,0.004930350954525388,0.7410968691110611,0.0,3.4517922401428223,0.0
VIN5_F_ALT,VIN5,1,0.9264210284883377,0.061359307073777715,0.13711915610960623,0.316670686006546,-0.00001884668235816215,-0.000137447479206312,0.0006333954422401124,-0.001464143968527054,0.03805496828752643,0.7553197975602746,396.61114501953125,172563.51531982422,-0.00786387937594595,0.8477192129939795,0.0,2.751145839691162,0.0
VIN6_F_ALT,VIN6,1,0.9027789559424343,0.2240044656399227,0.030358481407165527,1.5413662195205688,8.010519036543425e-7,0.000026386428652695056,-0.0004250460450001058,0.001488205391420437,0.0020833333333333333,0.7967232041281666,341.6810607910156,170424.890625,0.01938861841449006,0.8779161646962166,0.0,2.9152944087982178,0.0
VIN7_F_ALT,VIN7,1,0.9271000475199855,0.006778621991829028,0.03146513155034857,0.45322513580322266,7.467044087671017e-6,0.00023731170726944877,-0.00009808643952644734,9.144144090124744e-6,0.4285714285714286,0.8766424135780503,432.59637451171875,156882.77709960938,-0.004791315086296148,0.8241974040865898,0.0,2.5275444984436035,0.0
VIN8_F_ALT,VIN8,1,0.9361772369924241,0.7748602120192735,0.11560812547834834,0.9495744109153748,0.00002827910499913669,0.00024461174231592346,-0.0029789391127635315,0.0014744525162683516,0.0021413276231263384,0.8640952366187992,560.4871826171875,96945.28326416016,0.015444811475943853,0.7774000279605389,0.0,2.9326601028442383,0.0
VIN9_F_ALT,VIN9,1,0.9313254506109859,-0.04219127406244693,0.08291986533960007,1.0512919425964355,-2.1813887372232035e-6,-0.000026307191024602848,-0.0006209349414153217,0.0013501351920321895,0.022684310018903593,0.7134953259884926,271.1461181640625,125063.97961425781,0.006731397391845708,0.7927220910787582,0.0,2.7931411266326904,0.0
VIN10_F_ALT,VIN10,1,0.9102275182774716,0.16283602394134158,0.08064716100139574,1.7166447639465332,-6.47175833299745e-6,-0.00008024781347089757,-0.0018578645100750812,0.0007129068745019726,0.009280742459396751,0.6553023620637035,352.099853515625,85866.31475830078,-0.0019472295318217268,0.7978760302066803,1.9913378652915972,3.171252489089966,2897.0
VIN1_NF_ALT,VIN1,0,0.8964257059286519,0.012262508574794478,0.9690641738593473,0.37882593274116516,-0.00019863202903737224,-0.0002049730393461045,0.00037200057086612167,0.00031100587968125925,0.003552397868561279,0.731317414562516,484.47576904296875,159237.66467285156,-0.0010554208777471504,0.9022637028247118,0.0,2.7653937339782715,0.0
VIN2_NF_ALT,VIN2,0,0.9356135947536129,0.035332600187274056,0.4151398489947759,0.6155157685279846,-6.465139904282635e-6,-0.000015573402360523553,-0.001292372794241925,0.000353079916628627,0.07110438729198185,0.7962203868943445,271.1025390625,146930.02758789062,-0.01449073208578948,0.8912269435822964,0.0,3.2456648349761963,0.0
VIN3_NF_ALT,VIN3,0,0.9140651653217028,-0.05570444661408221,NaN,1.1809707880020142,NaN,-0.00004249129934426357,-0.0007832666108098305,0.003318653581544271,0.003527336860670194,0.7463598438060263,310.9269104003906,99791.35827636719,0.000023094512984342795,0.6324823424220085,0.0,3.2833099365234375,0.0
VIN4_NF_ALT,VIN4,0,0.9256389126357082,0.011510558759542931,0.7250153465722822,0.7599256038665771,-0.000054521914405357174,-0.00007520104872693405,0.00047843358298040874,-0.0010045502024981052,0.01015228426395939,0.7811878651318096,299.902587890625,131755.18725585938,0.005282706054559924,0.8384263552725315,0.14609261849749594,3.1005630493164062,98.0
VIN5_NF_ALT,VIN5,0,0.920954105490435,0.029911316087093257,0.9663888272372159,0.49262920022010803,0.00020755003858297972,0.00021476866529628576,-0.002260571641370255,-0.00016676425139270303,0.023636363636363636,0.7347831672974854,238.5884552001953,131460.68701171875,-0.0022194882275978637,0.7655159793794155,0.0,3.6378097534179688,0.0
VIN6_NF_ALT,VIN6,0,0.9330719823741923,-0.011474186848733092,0.010875656219299682,0.48371556401252747,-1.7309035135013213e-6,-0.00015915393780374383,0.00012345389122757556,-0.0015721214892891796,0.0029940119760479044,0.701282519515433,290.59735107421875,161519.14587402344,0.004811473626437722,0.7968030162155628,0.0,2.9476935863494873,0.0
VIN7_NF_ALT,VIN7,0,0.899261240730184,-0.02578198090278532,0.7745857698371611,0.9843100309371948,-0.00011271815122673997,-0.00014552055513547115,-0.0016299838346200803,0.0018217860166186864,0.004518072289156627,0.7268493905473871,369.907470703125,137596.13708496094,0.004691530390511592,0.7216413542628288,0.0,3.4379703998565674,0.0
VIN8_NF_ALT,VIN8,0,0.8765689364049749,-0.026162391722003395,0.06825137933095296,1.017413854598999,-0.000012521220326434461,-0.00018345739601420644,-0.0012929005998726481,-0.04872067549388241,0.0020833333333333333,0.36975978419715444,220.97117614746094,105263.99963378906,-0.003167676772821374,0.5620372146368027,0.002034588697787535,2.531421661376953,1.0
VIN9_NF_ALT,VIN9,0,0.7145198290879712,-0.09632927721679144,-0.17997347686000212,0.9740870594978333,-0.00002333709864293637,0.00012966965494082134,-0.0017182120757165509,-0.0036542536208748156,0.0038684719535783366,0.3906688000926469,409.6085205078125,176799.9031982422,0.012291970593937244,0.6892193704843521,0.0019029501460861148,3.070293664932251,1.0
VIN10_NF_ALT,VIN10,0,0.9216514744439201,0.08654680205096164,0.41634657311541545,0.5913287401199341,-0.00006672369126155576,-0.0001602599746703314,-0.00046021775490023224,0.00010077501435509454,0.009985734664764621,0.7536239695489497,309.8336181640625,164376.73693847656,0.007010350954774287,0.8397436179220676,0.0,3.5897445678710938,0.0
VIN11_NF_ALT,VIN11,0,0.9092116861303972,-0.04987569259098343,0.7260526604608658,0.34151142835617065,-0.0002392587294158443,-0.0003295335757932125,-0.00040691972351142904,-0.0013512546153266521,0.06422018348623854,0.7911289348243177,472.8981018066406,80776.67163085938,-0.012457562909025343,0.8922098521143198,0.43623676677491807,2.8145804405212402,142.0
VIN12_NF_ALT,VIN12,0,0.8505742427821812,-0.12044938186119346,3.9425143771701388,1.5195125341415405,-0.005112084250956999,-0.001296655829731268,0.001144747334793435,0.0004931432733842857,0.011111111111111112,0.7337096454446947,385.2964172363281,75549.63409423828,0.0007888749459993666,0.6244564652442932,0.0,2.4617838859558105,0.0
VIN13_NF_ALT,VIN13,0,0.907524531953404,-0.19426467839409323,0.7019629571224465,0.2701234817504883,0.00016438579448493673,0.00023418015554382336,0.00045047804918960766,0.001262738915109317,0.0019455252918287938,0.832681659548386,356.3396911621094,166449.39990234375,0.0007454954796863239,0.8895693570375443,0.0,3.262918710708618,0.0
VIN14_NF_ALT,VIN14,0,0.9258801072109035,0.001635484742413599,0.510180431863536,0.3122154474258423,-0.000021537107675045208,-0.000042214687843625475,-0.0009539410204719677,-0.000023643635248325538,0.0036231884057971015,0.823111675032397,250.1156463623047,102513.23583984375,0.0016554250479846517,0.9219660926610231,0.0,2.4502933025360107,0.0
VIN15_NF_ALT,VIN15,0,0.9143732769941715,0.039408867517063115,-0.15033207137691934,0.9213981032371521,0.00003162021729434223,-0.0002103358052924222,0.00008317309327373429,-0.012725903753762372,0.0034602076124567475,0.7669335895307839,254.09959411621094,165159.02368164062,-0.01838694607619694,0.7836532257497311,0.04216081082427801,3.6930105686187744,18.0
