failed_vin,healthy_vin,score_f,score_h,outcome
VIN1_F_ALT,VIN1_NF_ALT,0.6058,0.2553,C
VIN1_F_ALT,VIN2_NF_ALT,0.6058,0.3956,C
VIN1_F_ALT,VIN3_NF_ALT,0.6058,0.4906,C
VIN1_F_ALT,VIN4_NF_ALT,0.6058,0.4257,C
VIN1_F_ALT,VIN5_NF_ALT,0.6058,0.325,C
VIN1_F_ALT,VIN6_NF_ALT,0.6058,0.4133,C
VIN1_F_ALT,VIN7_NF_ALT,0.6058,0.4116,C
VIN1_F_ALT,VIN8_NF_ALT,0.6058,0.3934,C
VIN1_F_ALT,VIN9_NF_ALT,0.6058,0.1053,C
VIN1_F_ALT,VIN10_NF_ALT,0.6058,0.4389,C
VIN1_F_ALT,VIN11_NF_ALT,0.6058,0.2559,C
VIN1_F_ALT,VIN12_NF_ALT,0.6058,0.0421,C
VIN1_F_ALT,VIN13_NF_ALT,0.6058,0.2104,C
VIN1_F_ALT,VIN14_NF_ALT,0.6058,0.3162,C
VIN1_F_ALT,VIN15_NF_ALT,0.6058,0.3987,C
VIN2_F_ALT,VIN1_NF_ALT,0.6085,0.2553,C
VIN2_F_ALT,VIN2_NF_ALT,0.6085,0.3956,C
VIN2_F_ALT,VIN3_NF_ALT,0.6085,0.4906,C
VIN2_F_ALT,VIN4_NF_ALT,0.6085,0.4257,C
VIN2_F_ALT,VIN5_NF_ALT,0.6085,0.325,C
VIN2_F_ALT,VIN6_NF_ALT,0.6085,0.4133,C
VIN2_F_ALT,VIN7_NF_ALT,0.6085,0.4116,C
VIN2_F_ALT,VIN8_NF_ALT,0.6085,0.3934,C
VIN2_F_ALT,VIN9_NF_ALT,0.6085,0.1053,C
VIN2_F_ALT,VIN10_NF_ALT,0.6085,0.4389,C
VIN2_F_ALT,VIN11_NF_ALT,0.6085,0.2559,C
VIN2_F_ALT,VIN12_NF_ALT,0.6085,0.0421,C
VIN2_F_ALT,VIN13_NF_ALT,0.6085,0.2104,C
VIN2_F_ALT,VIN14_NF_ALT,0.6085,0.3162,C
VIN2_F_ALT,VIN15_NF_ALT,0.6085,0.3987,C
VIN3_F_ALT,VIN1_NF_ALT,0.7603,0.2553,C
VIN3_F_ALT,VIN2_NF_ALT,0.7603,0.3956,C
VIN3_F_ALT,VIN3_NF_ALT,0.7603,0.4906,C
VIN3_F_ALT,VIN4_NF_ALT,0.7603,0.4257,C
VIN3_F_ALT,VIN5_NF_ALT,0.7603,0.325,C
VIN3_F_ALT,VIN6_NF_ALT,0.7603,0.4133,C
VIN3_F_ALT,VIN7_NF_ALT,0.7603,0.4116,C
VIN3_F_ALT,VIN8_NF_ALT,0.7603,0.3934,C
VIN3_F_ALT,VIN9_NF_ALT,0.7603,0.1053,C
VIN3_F_ALT,VIN10_NF_ALT,0.7603,0.4389,C
VIN3_F_ALT,VIN11_NF_ALT,0.7603,0.2559,C
VIN3_F_ALT,VIN12_NF_ALT,0.7603,0.0421,C
VIN3_F_ALT,VIN13_NF_ALT,0.7603,0.2104,C
VIN3_F_ALT,VIN14_NF_ALT,0.7603,0.3162,C
VIN3_F_ALT,VIN15_NF_ALT,0.7603,0.3987,C
VIN4_F_ALT,VIN1_NF_ALT,0.4456,0.2553,C
VIN4_F_ALT,VIN2_NF_ALT,0.4456,0.3956,C
VIN4_F_ALT,VIN3_NF_ALT,0.4456,0.4906,D
VIN4_F_ALT,VIN4_NF_ALT,0.4456,0.4257,C
VIN4_F_ALT,VIN5_NF_ALT,0.4456,0.325,C
VIN4_F_ALT,VIN6_NF_ALT,0.4456,0.4133,C
VIN4_F_ALT,VIN7_NF_ALT,0.4456,0.4116,C
VIN4_F_ALT,VIN8_NF_ALT,0.4456,0.3934,C
VIN4_F_ALT,VIN9_NF_ALT,0.4456,0.1053,C
VIN4_F_ALT,VIN10_NF_ALT,0.4456,0.4389,C
VIN4_F_ALT,VIN11_NF_ALT,0.4456,0.2559,C
VIN4_F_ALT,VIN12_NF_ALT,0.4456,0.0421,C
VIN4_F_ALT,VIN13_NF_ALT,0.4456,0.2104,C
VIN4_F_ALT,VIN14_NF_ALT,0.4456,0.3162,C
VIN4_F_ALT,VIN15_NF_ALT,0.4456,0.3987,C
VIN5_F_ALT,VIN1_NF_ALT,0.2799,0.2553,C
VIN5_F_ALT,VIN2_NF_ALT,0.2799,0.3956,D
VIN5_F_ALT,VIN3_NF_ALT,0.2799,0.4906,D
VIN5_F_ALT,VIN4_NF_ALT,0.2799,0.4257,D
VIN5_F_ALT,VIN5_NF_ALT,0.2799,0.325,D
VIN5_F_ALT,VIN6_NF_ALT,0.2799,0.4133,D
VIN5_F_ALT,VIN7_NF_ALT,0.2799,0.4116,D
VIN5_F_ALT,VIN8_NF_ALT,0.2799,0.3934,D
VIN5_F_ALT,VIN9_NF_ALT,0.2799,0.1053,C
VIN5_F_ALT,VIN10_NF_ALT,0.2799,0.4389,D
VIN5_F_ALT,VIN11_NF_ALT,0.2799,0.2559,C
VIN5_F_ALT,VIN12_NF_ALT,0.2799,0.0421,C
VIN5_F_ALT,VIN13_NF_ALT,0.2799,0.2104,C
VIN5_F_ALT,VIN14_NF_ALT,0.2799,0.3162,D
VIN5_F_ALT,VIN15_NF_ALT,0.2799,0.3987,D
VIN6_F_ALT,VIN1_NF_ALT,0.7112,0.2553,C
VIN6_F_ALT,VIN2_NF_ALT,0.7112,0.3956,C
VIN6_F_ALT,VIN3_NF_ALT,0.7112,0.4906,C
VIN6_F_ALT,VIN4_NF_ALT,0.7112,0.4257,C
VIN6_F_ALT,VIN5_NF_ALT,0.7112,0.325,C
VIN6_F_ALT,VIN6_NF_ALT,0.7112,0.4133,C
VIN6_F_ALT,VIN7_NF_ALT,0.7112,0.4116,C
VIN6_F_ALT,VIN8_NF_ALT,0.7112,0.3934,C
VIN6_F_ALT,VIN9_NF_ALT,0.7112,0.1053,C
VIN6_F_ALT,VIN10_NF_ALT,0.7112,0.4389,C
VIN6_F_ALT,VIN11_NF_ALT,0.7112,0.2559,C
VIN6_F_ALT,VIN12_NF_ALT,0.7112,0.0421,C
VIN6_F_ALT,VIN13_NF_ALT,0.7112,0.2104,C
VIN6_F_ALT,VIN14_NF_ALT,0.7112,0.3162,C
VIN6_F_ALT,VIN15_NF_ALT,0.7112,0.3987,C
VIN7_F_ALT,VIN1_NF_ALT,0.7178,0.2553,C
VIN7_F_ALT,VIN2_NF_ALT,0.7178,0.3956,C
VIN7_F_ALT,VIN3_NF_ALT,0.7178,0.4906,C
VIN7_F_ALT,VIN4_NF_ALT,0.7178,0.4257,C
VIN7_F_ALT,VIN5_NF_ALT,0.7178,0.325,C
VIN7_F_ALT,VIN6_NF_ALT,0.7178,0.4133,C
VIN7_F_ALT,VIN7_NF_ALT,0.7178,0.4116,C
VIN7_F_ALT,VIN8_NF_ALT,0.7178,0.3934,C
VIN7_F_ALT,VIN9_NF_ALT,0.7178,0.1053,C
VIN7_F_ALT,VIN10_NF_ALT,0.7178,0.4389,C
VIN7_F_ALT,VIN11_NF_ALT,0.7178,0.2559,C
VIN7_F_ALT,VIN12_NF_ALT,0.7178,0.0421,C
VIN7_F_ALT,VIN13_NF_ALT,0.7178,0.2104,C
VIN7_F_ALT,VIN14_NF_ALT,0.7178,0.3162,C
VIN7_F_ALT,VIN15_NF_ALT,0.7178,0.3987,C
VIN8_F_ALT,VIN1_NF_ALT,0.8923,0.2553,C
VIN8_F_ALT,VIN2_NF_ALT,0.8923,0.3956,C
VIN8_F_ALT,VIN3_NF_ALT,0.8923,0.4906,C
VIN8_F_ALT,VIN4_NF_ALT,0.8923,0.4257,C
VIN8_F_ALT,VIN5_NF_ALT,0.8923,0.325,C
VIN8_F_ALT,VIN6_NF_ALT,0.8923,0.4133,C
VIN8_F_ALT,VIN7_NF_ALT,0.8923,0.4116,C
VIN8_F_ALT,VIN8_NF_ALT,0.8923,0.3934,C
VIN8_F_ALT,VIN9_NF_ALT,0.8923,0.1053,C
VIN8_F_ALT,VIN10_NF_ALT,0.8923,0.4389,C
VIN8_F_ALT,VIN11_NF_ALT,0.8923,0.2559,C
VIN8_F_ALT,VIN12_NF_ALT,0.8923,0.0421,C
VIN8_F_ALT,VIN13_NF_ALT,0.8923,0.2104,C
VIN8_F_ALT,VIN14_NF_ALT,0.8923,0.3162,C
VIN8_F_ALT,VIN15_NF_ALT,0.8923,0.3987,C
VIN9_F_ALT,VIN1_NF_ALT,0.4919,0.2553,C
VIN9_F_ALT,VIN2_NF_ALT,0.4919,0.3956,C
VIN9_F_ALT,VIN3_NF_ALT,0.4919,0.4906,C
VIN9_F_ALT,VIN4_NF_ALT,0.4919,0.4257,C
VIN9_F_ALT,VIN5_NF_ALT,0.4919,0.325,C
VIN9_F_ALT,VIN6_NF_ALT,0.4919,0.4133,C
VIN9_F_ALT,VIN7_NF_ALT,0.4919,0.4116,C
VIN9_F_ALT,VIN8_NF_ALT,0.4919,0.3934,C
VIN9_F_ALT,VIN9_NF_ALT,0.4919,0.1053,C
VIN9_F_ALT,VIN10_NF_ALT,0.4919,0.4389,C
VIN9_F_ALT,VIN11_NF_ALT,0.4919,0.2559,C
VIN9_F_ALT,VIN12_NF_ALT,0.4919,0.0421,C
VIN9_F_ALT,VIN13_NF_ALT,0.4919,0.2104,C
VIN9_F_ALT,VIN14_NF_ALT,0.4919,0.3162,C
VIN9_F_ALT,VIN15_NF_ALT,0.4919,0.3987,C
VIN10_F_ALT,VIN1_NF_ALT,0.6263,0.2553,C
VIN10_F_ALT,VIN2_NF_ALT,0.6263,0.3956,C
VIN10_F_ALT,VIN3_NF_ALT,0.6263,0.4906,C
VIN10_F_ALT,VIN4_NF_ALT,0.6263,0.4257,C
VIN10_F_ALT,VIN5_NF_ALT,0.6263,0.325,C
VIN10_F_ALT,VIN6_NF_ALT,0.6263,0.4133,C
VIN10_F_ALT,VIN7_NF_ALT,0.6263,0.4116,C
VIN10_F_ALT,VIN8_NF_ALT,0.6263,0.3934,C
VIN10_F_ALT,VIN9_NF_ALT,0.6263,0.1053,C
VIN10_F_ALT,VIN10_NF_ALT,0.6263,0.4389,C
VIN10_F_ALT,VIN11_NF_ALT,0.6263,0.2559,C
VIN10_F_ALT,VIN12_NF_ALT,0.6263,0.0421,C
VIN10_F_ALT,VIN13_NF_ALT,0.6263,0.2104,C
VIN10_F_ALT,VIN14_NF_ALT,0.6263,0.3162,C
VIN10_F_ALT,VIN15_NF_ALT,0.6263,0.3987,C
